"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Mon Apr 03 05:00:04 +0000 2017","deploraBill","1059","RT @carrieksada: House Intell Committee Dem Adam Schiff on 'Russian Election Hacking'  #Tucker   #russianhacking #aprilfoolsday https://t.c…","","['Tucker', 'russianhacking', 'aprilfoolsday']","[u'Carrie \u2764\ufe0fAmerica\U0001f1fa\U0001f1f8']","iPad"
"Mon Apr 03 05:00:17 +0000 2017","deploraBill","1059","RT @Ms1Scs: #RussiaInvestigation has gone total BS

#russianhacking #Russia #Russianbots #Russians #ObamaGate…","","['RussiaInvestigation', 'russianhacking', 'Russia', 'Russianbots', 'Russians', 'ObamaGate']","[u'TrumpInObamaOut4USA']","iPad"
"Mon Apr 03 05:00:39 +0000 2017","rocco_telese","117","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","Socialist So Cal,Greatweather.","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Twitter Web Client"
"Mon Apr 03 05:01:15 +0000 2017","SmokinSam420","1543","RT @brobert545: #russianhacking #Democrats have been watching #houseofcards and think it's real . Explains their #Russian fixation https://…","","['russianhacking', 'Democrats', 'houseofcards', 'Russian']","[u'brobert545']","iPhone"
"Mon Apr 03 05:01:55 +0000 2017","kap1119","162","RT @RepSwalwell: I'll be on @foxandfriends at 9:40amET/6:40amPT to talk about need for independent &amp; credible #RussianHacking investigation.","","['RussianHacking']","[u'Rep. Eric Swalwell', u'FOX & friends']","iPad"
"Mon Apr 03 05:02:38 +0000 2017","_cooly4977","19","RT @avanconia: @realDonaldTrump @WhiteHouse https://t.co/nja2SKCop2","Whereverr Dat Gwalaa @","[]","[u""MAGA.Wreck'nBall1861"", u'Donald J. Trump', u'The White House']","Android"
"Mon Apr 03 05:03:10 +0000 2017","Jamesdemuth3","97","RT @avanconia: @GoPTGo2020 @deplorable_Me11 @nocuruption69 @Weasle37417140 @DunsfordCascade @MarshallFSmith @rabid_bullfrog @POTUS…","Seattle, WA","[]","[u""MAGA.Wreck'nBall1861"", u'Patriot', u'\U0001f31eDebbie\u2764 Trump\U0001f31e', u'Steve', u'DeplorableWeasel\U0001f438', u'Dunsford Cascade', u'Conservatarian', u'tHE rABID bULLFROG', u'President Trump']","iPad"
"Mon Apr 03 05:03:24 +0000 2017","arelab13","678","🚨🚨RT!! YUGE. 😳 🚨🚨⚡️ “#RussianHacking my butt! PROOF HERE.” by @avanconia

https://t.co/bhtZXgeOJV","New Jersey, USA","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","iPhone"
"Mon Apr 03 05:03:25 +0000 2017","EatStamf0rd","15","RT @avanconia: @realDonaldTrump @WhiteHouse https://t.co/nja2SKCop2","Stamford CT","[]","[u""MAGA.Wreck'nBall1861"", u'Donald J. Trump', u'The White House']","Android"
"Mon Apr 03 05:03:59 +0000 2017","jennltrucano","20","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","east coast • nj","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Android"
